iter	Passed	Remaining
0	162	162298
1	164	82185
2	167	55538
3	169	42177
4	171	34212
5	174	28882
6	176	25083
7	179	22221
8	181	19997
9	183	18198
10	186	16732
11	188	15523
12	190	14500
13	192	13567
14	194	12795
15	197	12122
16	199	11561
17	202	11058
18	205	10606
19	207	10191
20	210	9832
21	213	9487
22	215	9157
23	217	8860
24	220	8589
25	222	8337
26	224	8082
27	226	7873
28	229	7692
29	232	7505
30	234	7329
31	236	7169
32	239	7020
33	242	6878
34	244	6743
35	247	6618
36	249	6495
37	252	6381
38	254	6270
39	256	6167
40	258	6056
41	260	5949
42	263	5858
43	265	5773
44	268	5693
45	270	5616
46	273	5547
47	276	5479
48	278	5411
49	281	5346
50	283	5281
51	286	5223
52	288	5149
53	290	5090
54	293	5035
55	295	4982
56	297	4929
57	300	4878
58	302	4831
59	305	4785
60	308	4741
61	310	4696
62	312	4652
63	315	4608
64	317	4572
65	320	4532
66	322	4494
67	325	4457
68	327	4422
69	330	4386
70	332	4351
71	335	4318
72	337	4286
73	339	4245
74	341	4214
75	344	4186
76	346	4158
77	349	4130
78	351	4103
79	354	4075
80	356	4048
81	359	4023
82	361	3990
83	363	3963
84	365	3939
85	368	3913
86	370	3889
87	373	3866
88	375	3843
89	377	3821
90	380	3797
91	382	3775
92	384	3754
93	387	3733
94	389	3712
95	392	3697
96	395	3679
97	397	3661
98	400	3644
99	403	3630
100	406	3615
101	409	3601
102	411	3579
103	413	3561
104	416	3547
105	418	3530
106	421	3514
107	423	3497
108	425	3481
109	428	3465
110	430	3450
111	433	3436
112	436	3422
113	438	3407
114	440	3392
115	443	3377
116	445	3362
117	448	3348
118	450	3333
119	452	3320
120	455	3307
121	457	3293
122	460	3281
123	463	3271
124	465	3259
125	468	3246
126	470	3233
127	472	3222
128	475	3209
129	477	3197
130	480	3184
131	482	3172
132	484	3160
133	487	3148
134	489	3136
135	507	3222
136	509	3212
137	512	3201
138	515	3191
139	517	3179
140	519	3167
141	522	3155
142	524	3144
143	527	3133
144	529	3122
145	531	3110
146	534	3100
147	536	3089
148	539	3080
149	541	3070
150	544	3059
151	546	3049
152	549	3039
153	551	3029
154	553	3018
155	556	3008
156	558	2999
157	561	2990
158	563	2980
159	566	2971
160	568	2962
161	570	2953
162	573	2943
163	575	2935
164	578	2926
165	581	2921
166	584	2915
167	587	2907
168	589	2899
169	592	2891
170	595	2884
171	598	2879
172	600	2872
173	604	2867
174	606	2860
175	609	2852
176	611	2844
177	614	2837
178	617	2830
179	619	2824
180	622	2815
181	624	2807
182	626	2798
183	629	2790
184	631	2782
185	634	2775
186	637	2769
187	639	2761
188	641	2753
189	644	2745
190	646	2738
191	649	2731
192	651	2724
193	653	2716
194	656	2709
195	658	2700
196	661	2694
197	663	2687
198	666	2681
199	668	2674
200	670	2667
201	673	2660
202	675	2653
203	678	2647
204	680	2638
205	682	2631
206	685	2624
207	687	2617
208	689	2610
209	692	2603
210	694	2596
211	696	2590
212	699	2583
213	701	2576
214	704	2570
215	706	2563
216	708	2557
217	710	2550
218	713	2544
219	715	2537
220	718	2531
221	720	2525
222	723	2519
223	725	2513
224	727	2507
225	730	2501
226	732	2495
227	735	2489
228	737	2483
229	740	2478
230	742	2472
231	745	2466
232	747	2461
233	750	2455
234	752	2449
235	768	2486
236	770	2480
237	773	2475
238	775	2469
239	783	2480
240	786	2476
241	788	2471
242	791	2466
243	794	2461
244	797	2456
245	799	2450
246	801	2444
247	804	2438
248	806	2431
249	809	2427
250	811	2421
251	814	2416
252	816	2410
253	818	2405
254	821	2399
255	823	2394
256	826	2389
257	828	2383
258	831	2378
259	833	2372
260	836	2367
261	838	2362
262	841	2357
263	843	2352
264	846	2347
265	848	2342
266	851	2337
267	854	2332
268	856	2328
269	859	2324
270	862	2320
271	865	2315
272	867	2310
273	870	2305
274	872	2300
275	875	2296
276	877	2291
277	880	2287
278	883	2283
279	886	2278
280	888	2273
281	891	2269
282	893	2264
283	896	2259
284	899	2256
285	901	2251
286	904	2246
287	906	2241
288	909	2237
289	912	2233
290	914	2228
291	917	2223
292	919	2219
293	922	2214
294	924	2210
295	927	2206
296	929	2201
297	932	2196
298	934	2191
299	937	2186
300	939	2181
301	942	2177
